cardholder_id,historical_txn_count,historical_fraud_count,historical_chargebacks,historical_failed_auths,avg_historical_amount,std_historical_amount,p95_historical_amount,usual_online_rate,usual_international_rate,usual_contactless_rate,distinct_merchants_180d,distinct_countries_180d,top_mcc,top_country,days_since_last_historical_txn,historical_fraud_rate,historical_failed_auth_rate,historical_chargeback_rate,distinct_devices_180d,distinct_ip_hashes_180d,distinct_ip_countries_180d,avg_historical_device_risk,avg_historical_ip_risk,risky_ip_event_rate_180d,failed_login_events_180d
CH0000000,26,0,0,1,49.01076923076923,35.47624635421024,92.605,0.1538461538461538,0.7692307692307693,0.3846153846153846,24,8,5945,DEU,0,0.0,0.0384615384615384,0.0,1,8,8,23.253846153846155,20.72307692307692,0.0,5
CH0000001,42,0,0,2,49.06571428571429,30.32721124931006,95.49699999999996,0.2142857142857142,0.9523809523809524,0.5,41,12,5814,GBR,3,0.0,0.0476190476190476,0.0,1,7,7,24.759523809523813,19.928571428571427,0.0,6
CH0000002,26,0,0,0,174.60192307692307,189.4656254631796,293.89250000000004,0.1923076923076923,1.0,0.3846153846153846,26,6,5411,GBR,7,0.0,0.0,0.0,1,6,6,25.53076923076923,21.069230769230767,0.0,4
CH0000003,28,0,0,1,95.92357142857144,62.07903183990465,223.799,0.5357142857142857,1.0,0.4642857142857143,28,11,5411,GBR,2,0.0,0.0357142857142857,0.0,1,11,11,26.157142857142855,21.400000000000002,0.0,2
CH0000004,23,0,0,0,185.83565217391305,105.10587713115706,379.1859999999999,0.0869565217391304,1.0,0.5652173913043478,23,8,5411,GBR,4,0.0,0.0,0.0,1,8,8,25.47391304347826,20.91304347826087,0.0,1
CH0000005,36,0,0,0,104.08055555555556,64.25201079430208,242.4275,0.3055555555555556,0.8333333333333334,0.3611111111111111,35,10,5814,GBR,20,0.0,0.0,0.0,1,10,10,25.00277777777778,21.25,0.0,9
CH0000006,35,0,0,2,26.08857142857143,16.71111309399635,61.41199999999999,0.0571428571428571,0.9428571428571428,0.2,35,10,5411,GBR,12,0.0,0.0571428571428571,0.0,1,9,9,24.98,22.002857142857142,0.0,3
CH0000007,35,1,1,1,122.84628571428571,136.6975306176918,295.8959999999998,0.6571428571428571,0.7714285714285715,0.3714285714285714,33,11,5411,GBR,1,0.0285714285714285,0.0285714285714285,0.0285714285714285,2,12,11,25.41142857142857,21.968571428571426,0.0,4
CH0000008,30,0,1,1,124.57366666666668,104.96594450954844,334.035,0.4666666666666667,0.8,0.4333333333333333,29,7,5411,GBR,5,0.0,0.0333333333333333,0.0333333333333333,1,7,7,25.456666666666667,22.55,0.0,5
CH0000009,30,0,0,1,50.130333333333326,47.12043406826394,152.87849999999975,0.2,0.9333333333333332,0.4333333333333333,30,8,4722,GBR,2,0.0,0.0333333333333333,0.0,1,8,8,25.17,21.56,0.0,5
CH0000010,34,1,0,1,446.0635294117647,329.4461769889284,1158.535,0.3823529411764705,0.8529411764705882,0.2941176470588235,34,10,5411,GBR,0,0.0294117647058823,0.0294117647058823,0.0,2,8,7,26.27058823529412,22.43235294117647,0.0,7
