merchant_id,Merch_ID_DE42,merchant_name,MCC_Code,merchant_country,merchant_onboard_date,merchant_risk_segment,MCC_Desc
M0000000,MID453296404,MERCHANT_00000,7994,GBR,2022-06-01,LOW,Video Game Arcades
M0000001,MID564111953,MERCHANT_00001,7011,USA,2023-07-13,LOW,"Hotels, Motels, Resorts"
M0000002,MID816503617,MERCHANT_00002,5411,NGA,2022-03-25,MEDIUM,"Grocery Stores, Supermarkets"
M0000003,MID389476025,MERCHANT_00003,5411,IND,2021-11-16,LOW,"Grocery Stores, Supermarkets"
M0000004,MID454406750,MERCHANT_00004,6051,GBR,2024-03-17,LOW,Non-Financial Institutions - Currency Dealers
M0000005,MID568462928,MERCHANT_00005,5411,NGA,2022-03-09,LOW,"Grocery Stores, Supermarkets"
M0000006,MID999699202,MERCHANT_00006,4511,USA,2024-01-14,LOW,"Airlines, Air Carriers"
M0000007,MID944104861,MERCHANT_00007,5814,ARE,2022-06-05,LOW,Fast Food Restaurants
M0000008,MID209942394,MERCHANT_00008,4511,GBR,2021-01-14,MEDIUM,"Airlines, Air Carriers"
M0000009,MID746727232,MERCHANT_00009,5094,BRA,2023-08-15,LOW,"Jewelry, Watches, Silverware"
M0000010,MID235721490,MERCHANT_00010,5814,NGA,2024-06-13,LOW,Fast Food Restaurants
M0000011,MID779259468,MERCHANT_00011,5812,AUS,2022-11-27,LOW,"Eating Places, Restaurants"
M0000012,MID569188575,MERCHANT_00012,5411,AUS,2021-08-31,LOW,"Grocery Stores, Supermarkets"
M0000013,MID874093699,MERCHANT_00013,5814,NGA,2023-12-11,LOW,Fast Food Restaurants
M0000014,MID934542854,MERCHANT_00014,5814,USA,2022-02-02,MEDIUM,Fast Food Restaurants
M0000015,MID785614195,MERCHANT_00015,5732,ESP,2023-01-24,LOW,Electronics Sales
M0000016,MID417441523,MERCHANT_00016,7994,CAN,2024-01-28,LOW,Video Game Arcades
M0000017,MID748842825,MERCHANT_00017,5814,USA,2022-12-05,LOW,Fast Food Restaurants
M0000018,MID828069187,MERCHANT_00018,5999,GBR,2021-05-28,LOW,Miscellaneous Retail Stores
M0000019,MID962661991,MERCHANT_00019,5094,AUS,2021-03-08,MEDIUM,"Jewelry, Watches, Silverware"
M0000020,MID395650878,MERCHANT_00020,5411,USA,2024-08-23,LOW,"Grocery Stores, Supermarkets"
M0000021,MID325717550,MERCHANT_00021,5945,DEU,2021-02-08,LOW,"Hobby, Toy, and Game Shops"
M0000022,MID486738344,MERCHANT_00022,4829,USA,2022-09-12,LOW,Wire Transfer Money Orders
M0000023,MID691473936,MERCHANT_00023,5814,GBR,2023-07-31,MEDIUM,Fast Food Restaurants
M0000024,MID923235498,MERCHANT_00024,4511,IND,2024-04-18,MEDIUM,"Airlines, Air Carriers"
M0000025,MID367094146,MERCHANT_00025,5812,IND,2022-01-18,LOW,"Eating Places, Restaurants"
M0000026,MID300146668,MERCHANT_00026,5732,USA,2022-09-11,LOW,Electronics Sales
M0000027,MID302948810,MERCHANT_00027,4722,GBR,2021-04-06,LOW,Travel Agencies
M0000028,MID484530634,MERCHANT_00028,5814,GBR,2022-08-16,LOW,Fast Food Restaurants
M0000029,MID839694388,MERCHANT_00029,5814,GBR,2023-04-29,LOW,Fast Food Restaurants
M0000030,MID583436167,MERCHANT_00030,5945,CAN,2024-12-04,LOW,"Hobby, Toy, and Game Shops"
M0000031,MID727270541,MERCHANT_00031,5945,USA,2024-03-04,LOW,"Hobby, Toy, and Game Shops"
M0000032,MID714824196,MERCHANT_00032,5812,USA,2021-09-24,LOW,"Eating Places, Restaurants"
M0000033,MID837129597,MERCHANT_00033,5999,USA,2024-11-28,LOW,Miscellaneous Retail Stores
M0000034,MID429806509,MERCHANT_00034,5945,AUS,2024-03-12,MEDIUM,"Hobby, Toy, and Game Shops"
