merchant_id,Merch_ID_DE42,merchant_name,MCC_Code,MCC_Desc,merchant_country,merchant_risk_segment,event_date,transaction_count,total_amount,fraud_rate,cnp_rate,chargeback_rate_30d,refund_rate_7d,mcc_mismatch_rate,volume_spike_rate,settlement_account_changes_30d,avg_ip_risk,laundering_risk_score,risk_event_type
M0000000,MID453296404,MERCHANT_00000,7994,Video Game Arcades,GBR,LOW,2025-06-30,45,7417.92,0.13333333333333333,0.2222222222222222,0.08888888888888889,0.13169445016143272,0.022222222222222223,0.08888888888888889,0,21.495555555555555,24.3,chargeback_watch
M0000001,MID564111953,MERCHANT_00001,7011,"Hotels, Motels, Resorts",USA,LOW,2025-06-30,65,7931.96,0.015384615384615385,0.2923076923076923,0.046153846153846156,0.02839813388619701,0.015384615384615385,0.03076923076923077,0,21.109230769230766,0.1,normal_monitoring
M0000002,MID816503617,MERCHANT_00002,5411,"Grocery Stores, Supermarkets",NGA,MEDIUM,2025-06-30,69,7108.55,0.17391304347826086,0.3188405797101449,0.11594202898550725,0.20283737588231202,0.043478260869565216,0.014492753623188406,2,27.333333333333332,61.9,chargeback_watch
M0000003,MID389476025,MERCHANT_00003,5411,"Grocery Stores, Supermarkets",IND,LOW,2025-06-30,81,10216.69,0.12345679012345678,0.35802469135802467,0.04938271604938271,0.1343223606479386,0.037037037037037035,0.024691358024691357,0,22.474074074074075,10.9,normal_monitoring
M0000004,MID454406750,MERCHANT_00004,6051,Non-Financial Institutions - Currency Dealers,GBR,LOW,2025-06-30,75,9592.23,0.14666666666666667,0.28,0.05333333333333334,0.18864144095983204,0.04,0.013333333333333334,3,19.727999999999998,35.5,normal_monitoring
M0000005,MID568462928,MERCHANT_00005,5411,"Grocery Stores, Supermarkets",NGA,LOW,2025-06-30,66,11720.9,0.2878787878787879,0.3484848484848485,0.13636363636363635,0.34886487823432405,0.030303030303030304,0.045454545454545456,3,25.945454545454545,56.7,chargeback_watch
M0000006,MID999699202,MERCHANT_00006,4511,"Airlines, Air Carriers",USA,LOW,2025-06-30,66,7601.18,0.16666666666666666,0.4696969696969697,0.045454545454545456,0.15964795201143836,0.045454545454545456,0.015151515151515152,0,20.233333333333334,22.3,normal_monitoring
M0000007,MID944104861,MERCHANT_00007,5814,Fast Food Restaurants,ARE,LOW,2025-06-30,64,10751.67,0.265625,0.375,0.0625,0.3480974884889483,0.03125,0.078125,1,28.1578125,43.0,normal_monitoring
M0000008,MID209942394,MERCHANT_00008,4511,"Airlines, Air Carriers",GBR,MEDIUM,2025-06-30,72,11621.34,0.1111111111111111,0.18055555555555555,0.06944444444444445,0.09932328535924584,0.027777777777777776,0.0,2,21.038888888888888,37.1,normal_monitoring
M0000009,MID746727232,MERCHANT_00009,5094,"Jewelry, Watches, Silverware",BRA,LOW,2025-06-30,59,9347.44,0.15254237288135594,0.2542372881355932,0.0847457627118644,0.13364871269870204,0.06779661016949153,0.01694915254237288,0,28.04237288135593,25.2,chargeback_watch
M0000010,MID235721490,MERCHANT_00010,5814,Fast Food Restaurants,NGA,LOW,2025-06-30,44,6362.9,0.18181818181818182,0.2727272727272727,0.13636363636363635,0.14914379744573328,0.045454545454545456,0.045454545454545456,0,25.656818181818185,28.2,chargeback_watch
M0000011,MID779259468,MERCHANT_00011,5812,"Eating Places, Restaurants",AUS,LOW,2025-06-30,65,7536.9,0.1076923076923077,0.3230769230769231,0.06153846153846154,0.16353352311349678,0.03076923076923077,0.03076923076923077,0,19.141538461538463,21.7,normal_monitoring
M0000012,MID569188575,MERCHANT_00012,5411,"Grocery Stores, Supermarkets",AUS,LOW,2025-06-30,61,9858.04,0.14754098360655737,0.36065573770491804,0.06557377049180328,0.09784582011244858,0.01639344262295082,0.01639344262295082,0,20.870491803278686,19.0,normal_monitoring
M0000013,MID874093699,MERCHANT_00013,5814,Fast Food Restaurants,NGA,LOW,2025-06-30,60,8237.36,0.23333333333333334,0.45,0.15,0.13934918888431294,0.03333333333333333,0.016666666666666666,1,26.209999999999997,40.0,chargeback_watch
M0000014,MID934542854,MERCHANT_00014,5814,Fast Food Restaurants,USA,MEDIUM,2025-06-30,78,12141.5,0.16666666666666666,0.41025641025641024,0.038461538461538464,0.2138313239682456,0.0641025641025641,0.0,3,21.68076923076923,62.8,normal_monitoring
M0000015,MID785614195,MERCHANT_00015,5732,Electronics Sales,ESP,LOW,2025-06-30,61,5538.26,0.11475409836065574,0.36065573770491804,0.04918032786885246,0.09853982696916903,0.03278688524590164,0.0,0,19.127868852459017,16.9,normal_monitoring
M0000016,MID417441523,MERCHANT_00016,7994,Video Game Arcades,CAN,LOW,2025-06-30,48,11593.16,0.125,0.3333333333333333,0.08333333333333333,0.09124986449752559,0.041666666666666664,0.08333333333333333,0,21.597916666666666,17.0,chargeback_watch
M0000017,MID748842825,MERCHANT_00017,5814,Fast Food Restaurants,USA,LOW,2025-06-30,83,16095.73,0.1566265060240964,0.3614457831325301,0.08433734939759036,0.19669705604782164,0.024096385542168676,0.04819277108433735,0,22.626506024096386,22.6,chargeback_watch
M0000018,MID828069187,MERCHANT_00018,5999,Miscellaneous Retail Stores,GBR,LOW,2025-06-30,66,9376.789999999999,0.10606060606060606,0.3181818181818182,0.045454545454545456,0.1282405767852585,0.0,0.045454545454545456,0,20.60909090909091,11.5,normal_monitoring
M0000019,MID962661991,MERCHANT_00019,5094,"Jewelry, Watches, Silverware",AUS,MEDIUM,2025-06-30,62,8727.34,0.06451612903225806,0.43548387096774194,0.06451612903225806,0.08415452406903254,0.03225806451612903,0.04838709677419355,4,21.41774193548387,60.3,normal_monitoring
M0000020,MID395650878,MERCHANT_00020,5411,"Grocery Stores, Supermarkets",USA,LOW,2025-06-30,69,10025.95,0.10144927536231885,0.30434782608695654,0.057971014492753624,0.11132804775535429,0.043478260869565216,0.057971014492753624,1,20.824637681159423,25.8,normal_monitoring
M0000021,MID325717550,MERCHANT_00021,5945,"Hobby, Toy, and Game Shops",DEU,LOW,2025-06-30,67,7676.77,0.08955223880597014,0.34328358208955223,0.05970149253731343,0.08097658115665982,0.029850746268656716,0.014925373134328358,0,20.87313432835821,18.3,normal_monitoring
M0000022,MID486738344,MERCHANT_00022,4829,Wire Transfer Money Orders,USA,LOW,2025-06-30,75,7300.27,0.13333333333333333,0.4266666666666667,0.09333333333333334,0.09423044632698974,0.04,0.02666666666666667,0,21.113333333333333,15.7,chargeback_watch
M0000023,MID691473936,MERCHANT_00023,5814,Fast Food Restaurants,GBR,MEDIUM,2025-06-30,82,14884.39,0.14634146341463414,0.35365853658536583,0.06097560975609756,0.13245207830356495,0.04878048780487805,0.024390243902439025,2,20.823170731707318,46.4,normal_monitoring
